# Kök denetim çalışma listesi — incelenmemiş çok-lemmalı kökler (sıklık sıralı)
# Karar: 'temiz' (tek kavram alanı) ya da tabloya ayrım ekle. Bittikçe kok_denetim.json güncellenir.

أله	n=2851	اللّه:2699 إله:147 اللّهمّ:5
وزن	n=23	ميزان:16 وزن:6 موزون:1
ربع	n=22	أربعة:9 أربع:7 رباع:2 ربع:2 رابع:2
خطأ	n=22	خطيئة:10 خاطئ:5 أخطأ:2 خطأ:2 خاطئة:2 خطء:1
مني	n=22	أمنيّت:6 يتمنّ:6 تمنّى:3 يمنى:3 يمنّي:2 مناة:1 منيّ:1
ألف	n=22	ألف:14 ألّف:5 إلاف:2 مؤلّفة:1
تمم	n=22	أتمّ:16 تمّ:4 تمام:1 متمّ:1
غوي	n=22	أغوي:8 غاوي:6 غيّ:4 غوى:3 غويّ:1
ترب	n=22	تراب:17 أتراب:3 ترائب:1 متربة:1
عرب	n=22	عربيّ:11 أعراب:10 عرب:1
حذر	n=21	يحذر:12 حذر:5 يحذّر:2 محذور:1 حاذر:1
حجر	n=21	حجارة:10 حجر:7 محجور:2 حجور:1 حجرة:1
حلم	n=21	حليم:15 حلم:6
بقي	n=21	أبقى:7 باقية:4 بقيّت:3 بقي:3 باقي:2 باق:1 تبقي:1
سنن	n=21	سنّة:16 مسنون:3 سنّ:2
فتي	n=21	يستفت:6 يفتي:5 فتى:4 فتية:3 فتاة:2 فتيان:1
أثر	n=21	أثر:14 آثر:5 أثارة:1 يؤثر:1
نشر	n=21	نشور:5 نشرت:3 أنشر:3 تنتشر:3 منشور:2 منشر:1 منتشر:1 منشّرة:1 ناشرة:1 نشر:1
سنو	n=20	سنين:12 سنة:7 سنا:1
مري	n=20	يمتر:5 مرية:5 تمار:5 ممتري:4 مراء:1
درج	n=20	درجة:18 نستدرج:2
ربو	n=20	ربا:7 ربت:4 ربوة:2 أربى:2 ربّي:2 رابي:1 رب:1 رابية:1
نخل	n=20	نخل:11 نخيل:7 نخلة:2
نزع	n=20	نزع:10 تنازع:7 ينازع:1 نزّاعة:1 نازعة:1
نفخ	n=20	نفخ:19 نفخة:1
فقه	n=20	يفقه:19 يتفقّه:1
صنع	n=20	صنع:17 اصطنع:1 صنعة:1 مصانع:1
لعب	n=20	يلعب:9 لعب:8 لاعب:3
فطر	n=20	فطر:10 فاطر:6 فطرت:1 فطور:1 منفطر:1 انفطرت:1
كشف	n=20	كشف:15 كاشف:3 كاشفة:2
ثمن	n=19	ثمن:12 ثمانية:4 ثامن:1 ثمانين:1 ثماني:1
بلد	n=19	بلد:14 بلدة:5
رشد	n=19	رشد:11 رشيد:3 رشاد:2 يرشد:1 مرشد:1 راشد:1
طلع	n=19	طلع:11 طلعت:2 مطلع:2 طلوع:2 يطلع:1 مطّلع:1
سعر	n=19	سعير:16 سعر:2 سعّرت:1
فكه	n=19	فاكهة:11 فواكه:3 فاكه:3 تفكّه:1 فكه:1
فرض	n=18	فرض:9 فريضة:6 مفروض:2 فارض:1
ملل	n=18	ملّة:15 يملّ:3
خصم	n=18	اختصم:8 خصيم:5 خصم:4 تخاصم:1
فكر	n=18	يتفكّر:17 فكّر:1
ثبت	n=18	ثبّت:10 تثبيت:2 يثبت:2 ثابت:2 اثبت:1 ثبوت:1
حصن	n=18	محصنة:8 أحصنت:5 محصن:2 تحصّن:1 حصون:1 محصّنة:1
نفر	n=18	نفر:11 نفور:5 نفير:1 مستنفرة:1
مكن	n=18	مكّ:13 مكين:4 أمكن:1
نوب	n=18	أناب:11 منيب:7
سور	n=17	سورة:10 أساور:5 تسوّر:1 سور:1
خشع	n=17	خاشع:14 خشعت:2 خشوع:1
بوأ	n=17	باء:6 بوّأ:6 يتبوّأ:4 مبوّأ:1
عوذ	n=17	عذ:10 استعذ:4 معاذ:2 أعيذ:1
خفف	n=17	خفّف:8 خفّت:3 استخفّ:3 خفيف:2 تخفيف:1
منع	n=17	منع:12 منّاع:2 ممنوعة:1 مانعت:1 منوع:1
شرق	n=17	مشرق:13 شرقيّ:1 شرقيّة:1 إشراق:1 أشرقت:1
صفو	n=17	اصطفى:12 أصفى:2 صفوان:1 مصطفين:1 مصفّى:1
ربص	n=17	تربّص:14 متربّص:3
نقم	n=17	انتقم:6 انتقام:4 نقم:4 منتقم:3
أوب	n=17	مآب:9 أوّاب:6 أوّب:1 إياب:1
زعم	n=17	زعم:15 زعيم:2
سوق	n=17	سيق:7 سوق:4 ساق:4 سائق:1 مساق:1
جهر	n=16	جهر:12 جهرة:3 جهار:1
علن	n=16	أعلن:12 علانية:4
خون	n=16	خان:5 خائن:3 يختان:2 خوّان:2 خائنة:2 خيانة:2
مهد	n=16	مهاد:7 مهد:5 يمهد:1 ماهد:1 مهّد:1 تمهيد:1
حبط	n=16	حبط:12 أحبط:4
خبث	n=16	خبيث:9 خبيثة:6 خبث:1
غدو	n=16	غد:8 غدوّ:5 غداة:2 غداء:1
غلل	n=16	غلّ:14 مغلولة:2
عتد	n=16	أعتدت:14 عتيد:2
سطر	n=16	أساطير:9 مسطور:3 مصيطر:2 مستطر:1 يسطر:1
لهو	n=16	لهو:10 ألهى:4 لاهية:1 تلهّى:1
كيل	n=16	كيل:10 مكيال:2 اكتال:2 كال:2
صمم	n=15	أصمّ:13 صمّ:2
سوم	n=15	سيما:6 يسوم:4 مسوّمة:3 مسوّم:1 تسيم:1
كفف	n=15	كفّ:8 كافّة:5 كفّي:2
ركب	n=15	ركب:10 ركبان:1 متراكب:1 ركوب:1 ركاب:1 ركّب:1
بيع	n=15	بيع:8 بايع:6 تبايع:1
مسح	n=15	مسيح:11 امسح:3 مسح:1
مطر	n=15	مطر:7 أمطرت:7 ممطر:1
بدأ	n=15	بدأ:12 يبدئ:3
حرث	n=14	حرث:13 تحرث:1
صوم	n=14	صيام:9 يصم:2 صوم:1 صائم:1 صائمة:1
فقر	n=14	فقير:12 فقر:1 فاقرة:1
ولج	n=14	يولج:10 يلج:3 وليجة:1
رجم	n=14	رجيم:6 رجم:6 مرجوم:1 رجوم:1
عشو	n=14	عشيّ:10 عشاء:2 يعش:1 عشيّة:1
ثوي	n=14	مثوى:13 ثاوي:1
لوم	n=14	ملوم:5 لم:3 مليم:2 لومة:1 لائم:1 يتلاوم:1 لوّامة:1
وصف	n=14	يصف:13 وصف:1
زرع	n=14	زرع:10 تزرع:2 زرّاع:1 زارع:1
رسو	n=14	رواسي:10 مرسى:3 أرسى:1
عطو	n=14	أعطى:8 عطاء:5 تعاطى:1
صفف	n=14	صفّ:7 صافّة:3 مصفوفة:2 صوافّ:1 صافّ:1
ركع	n=13	راكع:8 يركع:5
فدي	n=13	افتدى:7 فدية:3 تفاد:1 فدي:1 فداء:1
قنت	n=13	قانت:8 قانتة:3 يقنت:2
رأف	n=13	رءوف:11 رأفة:2
وقت	n=13	ميقات:8 وقت:3 موقوت:1 أقّتت:1
قرض	n=13	أقرض:6 قرض:6 تقرض:1
خلل	n=13	خلال:8 خليل:4 خلّة:1
طمأن	n=13	اطمأنّ:9 مطمئنّ:2 مطمئنّة:2
صغر	n=13	صاغر:5 صغير:3 صغيرة:2 أصغر:2 صغار:1
شهو	n=13	اشتهت:8 شهوة:5
حور	n=13	حواريّ:5 حور:4 يحاور:2 تحاور:1 يحور:1
عصم	n=13	اعتصم:5 يعصم:3 عاصم:3 استعصم:1 عصم:1
فوه	n=13	أفواه:12 فا:1
غلظ	n=13	غليظ:9 اغلظ:2 غلظة:1 استغلظ:1
جور	n=13	يجير:6 جار:3 استجار:1 متجاورة:1 جائر:1 يجاور:1
حلف	n=13	حلف:12 حلّاف:1
يأس	n=13	يئس:8 يئوس:3 استيأس:2
خزن	n=13	خزائن:8 خزنت:4 خازن:1
ضيق	n=13	ضاق:7 ضيّق:2 ضيق:2 ضائق:1 تضيّق:1
نصح	n=13	ناصح:6 نصح:6 نصوح:1
عون	n=12	استعين:4 تعاون:2 مستعان:2 أعان:2 عوان:1 ماعون:1
شبه	n=12	متشابه:6 تشابه:4 شبّه:1 مشتبه:1
وصل	n=12	يصل:10 وصيلة:1 وصّل:1
رهب	n=12	يرهب:3 رهبان:3 رهب:2 استرهب:1 ترهب:1 رهبانيّة:1 رهبة:1
عصو	n=12	عصا:10 عصيّ:2
بكر	n=12	بكرة:7 بكر:3 إبكار:2
طمع	n=12	يطمع:8 طمع:4
نبذ	n=12	نبذ:10 انتبذت:2
نيل	n=12	ينال:11 نيل:1
حسر	n=12	حسرة:7 حسرت:1 محسور:1 يستحسر:1 حسرتى:1 حسير:1
عسر	n=12	عسر:6 عسرة:2 عسير:2 تعاسر:1 عسرى:1
بيض	n=12	أبيض:8 ابيضّت:3 بيض:1
خطب	n=12	خطب:5 خاطب:3 خطاب:3 خطبة:1
كنن	n=12	أكنّة:4 مكنون:4 أكنن:3 أكنان:1
جبي	n=12	اجتبى:10 يجبى:1 جواب:1
درك	n=12	أدرك:6 ادّارك:3 درك:2 مدرك:1
ودي	n=12	واد:7 دية:2 أودية:2 وادي:1
خوض	n=12	خاض:9 خوض:2 خائض:1
شيع	n=12	شيعة:11 تشيع:1
شمل	n=12	شمال:8 اشتملت:2 شمائل:2
عذر	n=12	يعتذر:5 معذرة:3 عذر:2 معذّر:1 معاذير:1
شقو	n=12	شقيّ:4 شق:4 أشقى:3 شقوت:1
سجن	n=12	سجن:6 يسجن:3 سجّين:2 مسجون:1
نطق	n=12	ينطق:9 أنطق:2 منطق:1
سفه	n=11	سفيه:7 سفه:2 سفاهة:2
وقد	n=11	أوقد:5 وقود:4 استوقد:1 موقدة:1
صعق	n=11	صاعقة:8 صعق:3
غمم	n=11	غمّ:6 غمام:4 غمّة:1
طور	n=11	طور:10 أطوار:1
أيد	n=11	أيّد:9 أييد:2
سحب	n=11	سحاب:9 يسحب:2
سبب	n=11	سبب:9 يسبّ:2
لغو	n=11	لغو:9 الغ:1 لاغية:1
رضع	n=11	أرضعت:5 رضاعة:2 يرضع:1 تسترضع:1 مرضعة:1 مراضع:1
فأي	n=11	فئة:10 فئت:1
يمم	n=11	يمّ:8 تيمّم:3
حرب	n=11	حرب:4 محراب:4 حارب:2 محاريب:1
غيظ	n=11	غيظ:6 يغيظ:3 تغيّظ:1 غائظ:1
زبر	n=11	زبر:8 زبور:3
قصر	n=11	قصر:4 قاصرة:3 تقصر:1 يقصر:1 مقصّر:1 مقصورة:1
طرق	n=11	طريقة:5 طريق:4 طارق:2
جمل	n=11	جميل:7 جمل:1 جمال:1 جملة:1 جمالت:1
وكأ	n=11	متّكئ:8 متّكأ:1 أتوكّؤا۟:1 يتّكئ:1
فرر	n=11	فرّت:6 فرار:4 مفرّ:1
شفق	n=11	مشفق:8 أشفق:2 شفق:1
قدس	n=10	قدس:4 مقدّس:2 قدّوس:2 نقدّس:1 مقدّسة:1
رعي	n=10	راع:2 رع:2 راعي:2 مرعى:2 رعاء:1 رعايت:1
نقص	n=10	ينقص:7 نقص:2 منقوص:1
سود	n=10	سيّد:3 اسودّت:2 مسودّ:2 أسود:1 سود:1 مسودّة:1
زيل	n=10	زالت:8 زيّل:1 تزيّل:1
عزل	n=10	اعتزل:7 معزل:1 معزول:1 عزل:1
دفع	n=10	دفع:7 دافع:2 يدافع:1
كفل	n=10	كفل:4 يكفل:3 كفّل:1 كفيل:1 أكفل:1
ملو	n=10	أملى:9 مليّ:1
طول	n=10	طول:4 طال:3 طويل:2 تطاول:1
سفل	n=10	أسفل:6 سافل:3 سفلى:1
قهر	n=10	قهّار:6 قاهر:3 تقهر:1
عتو	n=10	عت:5 عتيّ:2 عتوّ:2 عاتية:1
دمر	n=10	دمّر:8 تدمير:2
بطش	n=10	بطش:8 بطشة:2
أصل	n=10	أصيل:7 أصل:3
ضحك	n=10	ضحكت:7 ضاحك:1 أضحك:1 ضاحكة:1
رهق	n=10	يرهق:8 رهق:2
زلف	n=10	أزلفت:4 زلفى:4 زلفة:2
جدد	n=10	جديد:8 جدد:1 جدّ:1
نقض	n=9	نقضت:6 نقض:2 أنقض:1
ذبح	n=9	ذبح:6 يذبّح:3
سبت	n=9	سبت:6 سبات:2 يسبت:1
بقر	n=9	بقرة:6 بقر:3
عكف	n=9	عاكف:7 يعكف:1 معكوف:1
بثث	n=9	بثّ:6 منبثّ:1 مبثوثة:1 مبثوث:1
فيض	n=9	أفاض:7 تفيض:2
قبض	n=9	قبض:6 قبضة:2 مقبوضة:1
برز	n=9	برز:5 برّزت:2 بارزة:1 بارز:1
نوم	n=9	منام:4 نوم:3 نائم:2
حرق	n=9	حريق:5 حرّق:3 احترقت:1
زيغ	n=9	زاغ:6 أزاغ:2 زيغ:1
عبر	n=9	عبرة:6 عابري:1 تعبر:1 اعتبر:1
فضض	n=9	فضّة:6 انفضّ:3
خيل	n=9	خيل:5 مختال:3 يخيّل:1
دوم	n=9	دام:7 دائم:2
همم	n=9	همّ:8 أهمّت:1
وهن	n=9	وهن:7 موهن:1 أوهن:1
صعد	n=9	صعيد:4 تصعد:1 يصّعّد:1 يصعد:1 صعد:1 صعود:1
غنم	n=9	غنم:5 مغانم:4
سرق	n=9	سرق:4 سارق:3 سارقة:1 استرق:1
وقر	n=9	وقر:7 توقّر:1 وقار:1
حلي	n=9	حلية:4 حلّ:4 حليّ:1
عرج	n=9	يعرج:5 أعرج:2 معارج:2
زني	n=9	زانية:3 زان:3 يزن:2 زنى:1
صحف	n=9	صحف:8 صحاف:1
فرج	n=9	فرج:8 فرجت:1
ختم	n=8	ختم:5 خاتم:1 مختوم:1 ختام:1
صفح	n=8	يصفح:6 صفح:2
رغب	n=8	يرغب:4 راغب:3 رغب:1
كلف	n=8	يكلّف:7 متكلّف:1
بهت	n=8	بهتان:6 بهت:2
وبل	n=8	وبال:4 وابل:3 وبيل:1
سلف	n=8	سلف:6 أسلفت:2
عقر	n=8	عقر:5 عاقر:3
أني	n=8	آناء:3 آنية:2 إنى:1 آن:1 يأن:1
خمس	n=8	خمسة:3 خامسة:2 خمسين:2 خمس:1
خول	n=8	خالة:3 خوّل:3 خال:2
صلب	n=8	صلب:4 يصلّب:4
فرط	n=8	فرّط:5 مفرط:1 فرط:1 يفرط:1
ضرع	n=8	تضرّع:4 يتضرّع:3 ضريع:1
سقط	n=8	سقط:3 تسقط:3 تساقط:1 ساقط:1
خضر	n=8	خضر:6 مخضرّة:1 أخضر:1
لطف	n=8	لطيف:7 يتلطّف:1
عيش	n=8	معيشة:3 معايش:2 عيشة:2 معاش:1
دلل	n=8	دلّ:7 دليل:1
حجب	n=8	حجاب:7 محجوب:1
ستت	n=8	ستّة:7 ستّين:1
رجف	n=8	رجفة:4 ترجف:2 مرجف:1 راجفة:1
غبر	n=8	غابر:7 غبرة:1
قبر	n=8	قبر:6 أقبر:1 مقابر:1
سري	n=8	أسرى:6 سريّ:1 يسر:1
ترف	n=8	مترف:5 أترف:3
برق	n=7	برق:6 أباريق:1
خطف	n=7	خطف:3 يتخطّف:3 خطفة:1
قسو	n=7	قست:3 قاسية:3 قسوة:1
نسك	n=7	منسك:4 نسك:2 ناسكو:1
فيأ	n=7	فاء:3 أفاء:3 يتفيّؤا۟:1
سرح	n=7	سرّح:3 سراح:2 تسريح:1 تسرح:1
عقد	n=7	عقدة:4 عقدت:1 عقود:1 عقّد:1
غرف	n=7	غرفة:6 اغترف:1
بخس	n=7	يبخس:5 بخس:2
سكر	n=7	سكارى:3 سكرة:2 سكّرت:1 سكر:1
برج	n=7	بروج:4 تبرّج:2 متبرّجة:1
عمد	n=7	عمد:3 متعمّد:2 تعمّدت:1 عماد:1
علق	n=7	علقة:5 معلّقة:1 علق:1
أسو	n=7	تأس:4 أسوة:3
ندم	n=7	نادم:5 ندامة:2
زيت	n=7	زيتون:5 زيتونة:1 زيت:1
ضحو	n=7	ضحى:6 تضحى:1
نكث	n=7	نكث:6 أنكاث:1
دكك	n=7	دكّ:3 دكّت:2 دكّاء:1 دكّة:1
بكي	n=7	بكت:5 بكيّ:1 أبكى:1
عصف	n=7	عصف:3 عاصف:2 عاصفة:2
موج	n=7	موج:6 يموج:1
بضع	n=7	بضاعة:5 بضع:2
وعي	n=7	وعاء:3 أوعى:2 تعي:1 واعية:1
مكث	n=7	مكث:5 ماكث:2
تسع	n=7	تسع:5 تسعة:2
ضوأ	n=6	أضاء:3 ضياء:3
فرش	n=6	فراش:4 فرش:2
حرف	n=6	يحرّف:4 متحرّف:1 حرف:1
أسر	n=6	أسير:4 تأسر:1 أسر:1
أدي	n=6	يؤدّ:5 أداء:1
حصر	n=6	أحصر:2 حصرت:2 حصور:1 حصير:1
زلزل	n=6	زلزل:3 زلزال:2 زلزلة:1
خلط	n=6	اختلط:3 تخالط:1 خلط:1 خلطاء:1
فرغ	n=6	أفرغ:3 فرغ:2 فارغ:1
حمر	n=6	حمار:5 حمر:1
دأب	n=6	دأب:5 دائبين:1
حسس	n=6	أحسّ:3 تحسّ:1 تحسّس:1 حسيس:1
درس	n=6	درس:5 دراست:1
صرر	n=6	أصرّ:4 صرّ:1 صرّة:1
كظم	n=6	كظيم:3 كاظم:2 مكظوم:1
لحق	n=6	ألحق:4 يلحق:2
سدد	n=6	سدّ:4 سديد:2
ميل	n=6	يميل:3 ميل:2 ميلة:1
فخر	n=6	فخور:4 فخّار:1 تفاخر:1
صيد	n=6	صيد:5 اصطاد:1
ردي	n=6	أردى:3 متردّية:1 تردى:1 تردّى:1
كلب	n=6	كلب:5 مكلّب:1
حبر	n=6	أحبار:4 يحبر:2
قصد	n=6	مقتصد:2 مقتصدة:1 قاصد:1 قصد:1 اقصد:1
حمي	n=6	حميّة:2 حامية:2 حام:1 يحمى:1
حصد	n=6	حصيد:4 حصاد:1 حصد:1
تبر	n=6	تبّر:2 تتبير:2 متبّر:1 تبار:1
لوح	n=6	لوح:5 لوّاحة:1
لحد	n=6	يلحد:3 ملتحد:2 إلحاد:1
رصد	n=6	رصد:2 مرصاد:2 مرصد:1 إرصاد:1
شفي	n=6	شفاء:4 يشف:2
وطأ	n=6	يطأ:3 يواطئ:1 موطئ:1 وطء:1
غرم	n=6	مغرم:4 غارم:1 غرام:1
ضيف	n=6	ضيف:5 يضيّف:1
قنط	n=6	قنط:4 قانط:1 قنوط:1
زور	n=6	زور:4 تزاور:1 زر:1
مهل	n=6	مهل:3 مهّل:2 أمهل:1
فزع	n=6	فزع:5 فزّع:1
مرج	n=6	مرج:2 مرجان:2 مريج:1 مارج:1
حطم	n=6	حطام:3 حطمة:2 يحطم:1
زجر	n=6	زجرة:2 زاجرة:1 زجر:1 مزدجر:1 ازدجر:1
خدع	n=5	يخادع:2 يخدع:2 خادع:1
نكل	n=5	نكال:3 تنكيل:1 أنكال:1
صفر	n=5	مصفرّ:3 صفراء:1 صفر:1
درأ	n=5	يدرؤا۟:4 ادّارأ:1
قفو	n=5	قفّي:4 تقف:1
حرص	n=5	حرص:3 أحرص:1 حريص:1
حسد	n=5	حسد:4 حاسد:1
وسط	n=5	وسط:2 أوسط:2 وسطى:1
جوع	n=5	جوع:4 تجوع:1
هلل	n=5	أهلّ:4 أهلّة:1
كمل	n=5	أكمل:2 كاملة:2 كاملين:1
عنت	n=5	عن:3 أعنت:1 عنت:1
كسو	n=5	كسو:3 كسوت:2
قتر	n=5	مقتر:1 قتر:1 قتور:1 يقتر:1 قترة:1
جوز	n=5	جاوز:4 نتجاوز:1
نشز	n=5	نشوز:2 انشز:2 ننشز:1
سنبل	n=5	سنبلة:4 سنبل:1
لوي	n=5	يل:3 ليّ:1 لوّ:1
نقذ	n=5	أنقذ:4 يستنقذ:1
خيب	n=5	خاب:4 خائب:1
فوت	n=5	فات:3 فوت:1 تفاوت:1
لين	n=5	لن:2 ليّن:1 أل:1 لينة:1
ربط	n=5	ربط:3 رابط:1 رباط:1
سدس	n=5	سدس:3 سادس:2
عمم	n=5	عمّة:3 عمّ:2
لمس	n=5	لمس:4 التمس:1
رفق	n=5	مرتفق:2 رفيق:1 مرافق:1 مرفق:1
مرد	n=5	مريد:2 مرد:1 ممرّد:1 مارد:1
شرع	n=5	شرع:2 شرعة:1 شرّع:1 شريعة:1
ميد	n=5	تميد:3 مائدة:2
بلس	n=5	مبلس:4 يبلس:1
صدف	n=5	صدف:4 صدفين:1
طرد	n=5	طرد:3 طارد:2
فرد	n=5	فرد:3 فرادى:2
قرف	n=5	اقترف:4 مقترف:1
خرص	n=5	يخرص:4 خرّاص:1
وسوس	n=5	وسوس:4 وسواس:1
جلو	n=5	تجلّى:2 جلّى:2 جلاء:1
أسف	n=5	أسف:4 آسف:1
وجل	n=5	وجلت:3 وجل:1 وجلة:1
غوث	n=5	استغاث:4 يغاث:1
مضي	n=5	مضى:4 مضيّ:1
قصو	n=5	أقصا:3 قصوى:1 قصيّ:1
ذمم	n=5	مذموم:3 ذمّة:2
زهق	n=5	زهق:3 زهوق:1 زاهق:1
لزم	n=5	ألزم:3 لزام:2
ذرع	n=5	ذرع:3 ذراع:2
عصب	n=5	عصبة:4 عصيب:1
قدد	n=5	قدّ:4 قدد:1
صرخ	n=5	مصرخ:2 يستصرخ:1 يصطرخ:1 صريخ:1
بور	n=5	بور:2 يبور:2 بوار:1
قطر	n=5	قطر:2 أقطار:2 قطران:1
شهب	n=5	شهاب:4 شهب:1
صدع	n=5	اصدع:1 يصّدّع:1 يصدّع:1 متصدّع:1 صدع:1
عتب	n=5	يستعتب:4 معتب:1
نفد	n=5	نفد:4 نفاد:1
حصب	n=5	حاصب:4 حصب:1
ثبر	n=5	ثبور:4 مثبور:1
هزز	n=5	اهتزّت:4 هزّ:1
طوي	n=5	طوى:2 نطوي:1 طىّ:1 مطويّة:1
شتت	n=5	شتّى:3 أشتات:2
نسف	n=5	نسفت:3 نسف:2
برد	n=5	برد:3 بارد:2
دهن	n=5	يدهن:2 دهن:1 دهان:1 مدهن:1
وزع	n=5	يوزع:3 أوزع:2
زلل	n=4	زلل:2 أزلّ:1 استزلّ:1
خسأ	n=4	خاسئ:3 اخسأ:1
خصص	n=4	يختصّ:2 خاصّة:1 خصاصة:1
نسخ	n=4	ينسخ:2 نسخت:1 نستنسخ:1
بدع	n=4	بديع:2 بدع:1 ابتدع:1
طوق	n=4	طاقة:2 يطيق:1 يطوّق:1
دلو	n=4	أدلى:2 دلو:1 تدلّى:1
نسل	n=4	نسل:2 ينسل:2
حيض	n=4	محيض:3 يحض:1
شور	n=4	تشاور:1 شاور:1 أشارت:1 شورى:1
عفف	n=4	يستعفف:3 تعفّف:1
قنطر	n=4	قنطار:3 مقنطرة:1
هيأ	n=4	هيئة:2 يهيّئ:2
نمل	n=4	نمل:2 أنامل:1 نملة:1
فور	n=4	فار:3 فور:1
سخط	n=4	سخط:3 أسخط:1
ميز	n=4	يميز:2 امتاز:1 تميّز:1
سفح	n=4	مسافح:2 مسافحة:1 مسفوح:1
وفق	n=4	توفيق:2 يوفّق:1 وفاق:1
غسل	n=4	تغتسل:1 اغسل:1 مغتسل:1 غسلين:1
نقر	n=4	نقير:2 نقر:1 ناقور:1
قلد	n=4	قلائد:2 مقاليد:2
جرح	n=4	جوارح:1 جروح:1 جرح:1 اجترح:1
كعب	n=4	كعبة:2 كعبين:1 كواعب:1
سحت	n=4	سحت:3 يسحت:1
درر	n=4	مدرار:3 درّيّ:1
وقف	n=4	وقف:3 موقوف:1
ورق	n=4	ورق:3 ورقة:1
يبس	n=4	يابسة:2 يابس:1 يبس:1
أفل	n=4	أفل:3 آفل:1
فلق	n=4	فالق:2 انفلق:1 فلق:1
ودع	n=4	مستودع:2 دع:1 ودّع:1
دحر	n=4	مدحور:3 دحور:1
سمم	n=4	سموم:3 سمّ:1
طلب	n=4	يطلب:1 طلب:1 طالب:1 مطلوب:1
نفل	n=4	أنفال:2 نافلة:2
رحب	n=4	رحبت:2 مرحب:2
غور	n=4	غور:2 غار:1 مغارة:1
لمز	n=4	يلمز:3 لمزة:1
جدر	n=4	جدار:2 أجدر:1 جدر:1
نصي	n=4	ناصية:3 نواصي:1
ركن	n=4	ركن:2 تركن:2
سجل	n=4	سجّيل:3 سجلّ:1
تبب	n=4	تبّ:2 تتبيب:1 تباب:1
سمن	n=4	سمين:3 يسمن:1
غيث	n=4	غيث:3 يغاث:1
جهز	n=4	جهّز:2 جهاز:2
رحل	n=4	رحل:3 رحلة:1
سرب	n=4	سراب:2 سارب:1 سرب:1
سيل	n=4	سيل:2 سالت:1 أسل:1
زول	n=4	زال:3 زوال:1
حمأ	n=4	حمإ:3 حمئة:1
خفض	n=4	اخفض:3 خافضة:1
عجم	n=4	أعجميّ:3 أعجمين:1
غسق	n=4	غسّاق:2 غسق:1 غاسق:1
رقي	n=4	ترقى:1 رقيّ:1 يرتق:1 راق:1
دحض	n=4	يدحض:2 مدحض:1 داحضة:1
سمر	n=4	سامريّ:3 سامر:1
لجج	n=4	لجّ:2 لجّيّ:1 لجّة:1
رتل	n=4	رتّل:2 ترتيل:2
مزق	n=4	مزّق:2 ممزّق:2
سدر	n=4	سدر:2 سدرة:2
صبغ	n=3	صبغة:2 صبغ:1
خيط	n=3	خيط:2 خياط:1
حلق	n=3	تحلق:1 محلّق:1 حلقوم:1
هزم	n=3	هزم:2 مهزوم:1
عرو	n=3	عروة:2 اعترى:1
رهن	n=3	رهان:1 رهين:1 رهينة:1
خذل	n=3	يخذل:1 مخذول:1 خذول:1
حرض	n=3	حرّض:2 حرض:1
شنأ	n=3	شنآن:2 شانئ:1
نقب	n=3	نقيب:1 نقب:1 نقّب:1
فتر	n=3	فترة:1 يفتر:1 يفتّر:1
أنف	n=3	أنف:2 آنف:1
أبل	n=3	إبل:2 أبابيل:1
سلخ	n=3	انسلخ:2 نسلخ:1
حفو	n=3	حفيّ:2 يحف:1
ردف	n=3	مردف:1 ردف:1 رادفة:1
ركم	n=3	يركم:1 ركام:1 مركوم:1
سيح	n=3	سيح:1 سائح:1 سائحة:1
ظمأ	n=3	ظمأ:1 تظمؤا۟:1 ظمآن:1
لفت	n=3	يلتفت:2 تلفت:1
خبت	n=3	أخبت:2 مخبت:1
نضد	n=3	منضود:2 نضيد:1
صبو	n=3	صبيّ:2 أصب:1
فقد	n=3	تفقد:2 تفقّد:1
شكو	n=3	أشكوا۟:1 مشكاة:1 تشتكي:1
زجو	n=3	يزجي:2 مزجاة:1
سوغ	n=3	سائغ:2 يسيغ:1
بذر	n=3	تبذّر:1 تبذير:1 مبذّر:1
مرح	n=3	مرح:2 تمرح:1
ستر	n=3	مستور:1 ستر:1 تستتر:1
لفف	n=3	لفيف:1 التفّت:1 ألفاف:1
خفت	n=3	يتخافت:2 تخافت:1
رقم	n=3	مرقوم:2 رقيم:1
شطط	n=3	شطط:2 تشطط:1
وصد	n=3	مؤصدة:2 وصيد:1
ذرو	n=3	تذرو:1 ذارية:1 ذرو:1
صخر	n=3	صخرة:2 صخر:1
شيب	n=3	شيب:2 شيبة:1
جثو	n=3	جثيّ:2 جاثية:1
قبس	n=3	قبس:2 نقتبس:1
عري	n=3	عراء:2 تعرى:1
نكس	n=3	نكس:1 ناكسوا:1 ننكّس:1
بهج	n=3	بهيج:2 بهجة:1
سلل	n=3	سلالة:2 يتسلّل:1
وتر	n=3	تترا:1 يتر:1 وتر:1
همز	n=3	همزة:2 همّاز:1
نثر	n=3	منثور:2 انتثرت:1
لذذ	n=3	لذّة:2 تلذّ:1
أزف	n=3	آزفة:2 أزفت:1
سجر	n=3	يسجر:1 مسجور:1 سجّرت:1
نحس	n=3	نحسة:1 نحس:1 نحاس:1
مور	n=3	تمور:2 مور:1
دعع	n=3	يدعّ:2 دعّ:1
فسح	n=3	يفسح:2 تفسّح:1
صرم	n=3	يصرم:1 صريم:1 صارم:1
حضض	n=3	يحضّ:2 تحاضّ:1
عبس	n=3	عبس:2 عبوس:1
نضر	n=3	نضرة:2 ناضرة:1
